ACT,AGE,AGO,ANC,C,CEN,CIV,CLS,CRS,CU,DG,DLG,EN,FR,GOV,ID,MRQ,NFC,PLA,PSS,RISKY,SX,TV,USG,VN,VV
RETRAITE,5,3,1,P,131,Mr,8,CI-4P,1,CAPBON,Hammamet,ES,0,Nabeul,899800,CITROEN,5,2,3,No,M,NC8FP01,VP,1,1
EDUCATION_FORMATION,4,6,2,T,116,Mme,1,CI-4P,1,TUNIS NORD,Mannouba,ES,0,Mannouba,218400,RENAULT,5,2,2,No,F,557KOC,VP,1,1
EMPLOYE,2,4,2,T,808,Mr,3,CI-4P,1,CAPBON,Ariana Ville,ES,0,Ariana,854400,VOLKSWAGEN,5,2,3,Yes,M,1K,VP,4,4
CHAUFFEUR,5,5,3,T,101,Mr,2,CI-4P,1,TUNIS CENTRE,Rades,DI,0,Ben Arous,618400,AUDI,5,2,3,No,M,8E,VP,2,2
RETRAITE,5,4,3,T,111,Mr,3,CI-4P,1,SAHEL,Ksibet El Mediouni,ES,1,Monastir,632600,RENAULT,2,2,3,No,M,LB270F,VP,2,2
EDUCATION_FORMATION,2,3,2,T,813,Mr,8,CI-4P,1,CAPBON,Oued Mliz,ES,1,Jendouba,826800,VOLKSWAGEN,2,2,3,No,M,1K,VP,4,4
EDUCATION_FORMATION,5,6,3,T,191,Mr,4,CI-4P,1,SAHEL,Moknine,ES,0,Monastir,156400,FIAT,5,2,2,No,M,176BQ55A,VP,1,1
EDUCATION_FORMATION,2,2,2,T,808,Entreprise,9,BREAK,1,CAPBON,Nabeul,ES,0,Nabeul,869600,FIAT,5,2,3,No,JP,225AXC1AXXH,VP,4,4
EMPLOYE,4,3,2,T,176,Mr,4,CI-4P,1,TUNIS CENTRE,La Soukra,DI,0,Ariana,596600,RENAULT,5,2,3,No,M,BT0A06,VP,3,3
PARAMEDICAL,3,6,5,T,103,Mme,1,CI-2P,1,SAHEL,Kairouan Sud,ES,0,Kairouan,243000,FIAT,5,2,2,No,F,176BQ53F,VP,1,1
PROFESSIONS_MEDICALES,2,4,3,T,109,Mme,1,CI-4P,1,CAPBON,Hammamet,ES,0,Nabeul,625600,VOLKSWAGEN,5,2,3,No,F,9N30D41,VP,2,2
PROFESSIONS_MEDICALES,2,4,3,T,193,Mr,3,CI-4P,1,NORD OUEST,Kasserine Nord,DI,0,Kasserine,768200,B.M.W.,5,2,4,No,M,PN1103,VP,3,3
AGRICULTURE,4,6,2,T,109,Mr,3,CAMIONNETTE,1,CAPBON,Dar Chaabane Elfehri,DI,0,Nabeul,818600,ISUZU,5,2,5,No,M,TFR54H,u1,2,2
ACTIVITES_COMMERCIALES,4,2,2,T,151,Mr,4,CI-4P,1,SAHEL,Kairouan Sud,ES,1,Kairouan,1005200,AUDI,2,2,4,Yes,M,8W2AEG,VP,6,6
EDUCATION_FORMATION,4,3,3,T,136,Mme,5,CI-2P,1,TUNIS NORD,Bizerte Nord,ES,0,Bizerte,593800,B.M.W.,5,2,4,No,F,KD11VERSION,VP,4,4
EMPLOYE,2,3,2,T,120,Mme,8,CI-4P,1,SUD,Houmet Essouk,ES,0,Medenine,1017400,HYUNDAI,5,2,3,No,F,A851CA,VP,3,3
ACTIVITES_COMMERCIALES,2,2,1,T,850,Mr,5,CI-5P,1,TUNIS CENTRE,Le Bardo,ES,1,Tunis,1045800,SEAT,2,2,2,Yes,M,KJ12B2,VP,5,5
EMPLOYE,4,6,2,P,121,Mr,1,CI-4P,1,SUD,Feriana,ES,0,Kasserine,522400,ISUZU,5,2,4,No,M,KBD270,u1,1,1
ACTIVITES_COMMERCIALES,3,4,3,T,191,Mr,4,CI-4P,1,SAHEL,Ksar Helal,ES,1,Monastir,600200,TOYOTA,5,2,5,No,M,KSP90LCHMRK,u1,4,4
EMPLOYE,3,2,2,T,151,Mr,8,CI-4P,1,SAHEL,Hammam Sousse,ES,1,Sousse,888200,RENAULT,2,2,3,No,M,5ROKOH,VP,4,4
RETRAITE,5,4,3,T,120,Mr,8,BREAK,1,SUD,Ajim,DI,0,Medenine,726000,CITROEN,5,2,3,No,M,GJ9HWC,VP,2,2
EMPLOYE,4,5,3,T,109,Mr,3,CI-4P,1,CAPBON,Dar Chaabane Elfehri,ES,0,Nabeul,761200,VOLKSWAGEN,5,2,2,No,M,9N,VP,2,2
METIERS_LEGAUX,5,3,3,T,103,Mr,1,BREAK,1,SAHEL,Sousse Ville,DI,1,Sousse,495800,NISSAN,2,2,3,Yes,M,FCAF15,VP,4,4
EDUCATION_FORMATION,4,3,3,T,128,Mr,1,CI-4P,1,TUNIS NORD,Le Bardo,ES,0,Tunis,211000,RENAULT,5,2,5,No,M,ABLCC3,VP,5,5
EMPLOYE,5,3,5,T,101,Mme,5,CI-4P,1,TUNIS CENTRE,Ezzahra,ES,1,Ben Arous,222200,B.M.W.,2,2,4,No,F,1A11,VP,3,3
RETRAITE,5,3,2,T,147,Mr,4,CI-4P,1,TUNIS NORD,Raoued,ES,0,Ariana,397400,RENAULT,5,2,3,No,M,LBW05,VP,2,2
EDUCATION_FORMATION,3,3,2,T,111,Mr,4,CI-4P,1,SAHEL,Monastir,ES,0,Monastir,414000,RENAULT,5,2,3,No,M,LBW05,VP,2,2
RETRAITE,5,4,2,T,180,Mr,1,CI-4P,1,CAPBON,Zaghouan,DI,1,Zaghouan,528800,DACIA,2,2,3,No,M,KSDEKJ,VP,2,2
RETRAITE,6,4,3,T,109,Mme,1,CI-4P,1,CAPBON,Beni Khiar,ES,0,Nabeul,512200,VOLKSWAGEN,5,2,4,No,F,1F,VP,4,4
PROFESSIONNEL_CONSULTANT_EXPERT,4,5,4,T,115,Mr,1,CI-4P,1,TUNIS CENTRE,El Menzah,DI,1,Tunis,476600,VOLKSWAGEN,2,2,3,No,M,1J,VP,2,2
